Name,Link,Default Branch,SHA,Stargazers Count,Forks Count,Date
boldt/werkzeuge-aufgabe5,https://github.com/boldt/werkzeuge-aufgabe5,master,5990e34a0234b679ca3c0995d0a584bd296b350c,1,216,13/12/2022 17:44:37
linuxacademy/content-jenkins-upstream-downstream,https://github.com/linuxacademy/content-jenkins-upstream-downstream,master,1117fa3146fd7016d3938deffd6f40bc8f583a97,1,223,13/12/2022 17:44:37
JNU-MINT/TextBayesClassifier,https://github.com/JNU-MINT/TextBayesClassifier,master,71a98dea9919e45ba8a25b552a3c430408ef6097,99,224,13/12/2022 17:44:37
jruesga/CMFileManager,https://github.com/jruesga/CMFileManager,master,27a3ca0b3585cc943ffd7e840c2814cdebebdaad,25,225,13/12/2022 17:44:37
ippontech/tatami,https://github.com/ippontech/tatami,master,90fdbfc474dca03ede431460237a80f8e442cbe3,335,225,13/12/2022 17:44:37
cs125-illinois/Fall-2017-Lab12,https://github.com/cs125-illinois/Fall-2017-Lab12,master,293adc6f1d5620ea59c6b9c03d7159db9cc6aaa0,0,226,13/12/2022 17:44:37
cs125-illinois/Spring-2018-Lab12,https://github.com/cs125-illinois/Spring-2018-Lab12,master,540c7e0e985cdad40f18acd70363aed45a5b8277,0,226,13/12/2022 17:44:37
johnkil/Android-ProgressFragment,https://github.com/johnkil/Android-ProgressFragment,master,f4b3b969f36f3ac9598c662722630f9ffb151bd6,813,226,13/12/2022 17:44:37
wso2-attic/esb-connectors,https://github.com/wso2-attic/esb-connectors,master,a4fb75e088dd3be45e78886c938dceb77684d90e,41,227,13/12/2022 17:44:37
venshine/GoodView,https://github.com/venshine/GoodView,master,0a9fffb0633adaa692e452535061ec91f2af01dc,1274,227,13/12/2022 17:44:37
mate-academy/jv-clonable,https://github.com/mate-academy/jv-clonable,master,461c375851e44e003739c23f4835dba32491f1ca,0,228,13/12/2022 17:44:37
cs125-illinois/Fall-2018-Lab11,https://github.com/cs125-illinois/Fall-2018-Lab11,master,36c68dc1137841b8773f962174bc16fb7beb391c,0,229,13/12/2022 17:44:37
puma007/SwipeRefreshLayoutDemo,https://github.com/puma007/SwipeRefreshLayoutDemo,master,2f6627231fa0dbf2f4651b3d5bf10d9ee8bc4407,3,229,13/12/2022 17:44:37
getodk/aggregate,https://github.com/getodk/aggregate,master,0eb781cc47cc879c43ea2cdd39b2a1d7e277bda7,72,229,13/12/2022 17:44:37
zhiyuncloud/aixuexiao,https://github.com/zhiyuncloud/aixuexiao,master,58cd5d35cca826e7da9703f9b89863b75f009e51,233,229,13/12/2022 17:44:37
scobal/seyren,https://github.com/scobal/seyren,master,8bb5b37b37ce049b5efa8b9cdc86b01bb5d969f9,868,229,13/12/2022 17:44:37
appfuse/appfuse,https://github.com/appfuse/appfuse,master,3f4588dce74b7f0762bec65727731bc3bf6ae899,401,230,13/12/2022 17:44:37
Didox/validar-cpf-back-spring-boot,https://github.com/Didox/validar-cpf-back-spring-boot,master,ede5ab1d3e200f4ab88b84c070aab6e4b5b0136f,0,230,13/12/2022 17:44:37
jclouds/legacy-jclouds,https://github.com/jclouds/legacy-jclouds,master,b5b3c2c77e856c2015e7ce644e5fc916d4af90b2,473,230,13/12/2022 17:44:37
juleswhite/mobilecloud-15,https://github.com/juleswhite/mobilecloud-15,master,9f8775b22b6aa3a7070896840113a0b472b04a30,71,231,13/12/2022 17:44:37
matburt/mobileorg-android,https://github.com/matburt/mobileorg-android,master,321062ab3189af8f53059d81176b86f201b86bd9,858,233,13/12/2022 17:44:37
event-storming/products,https://github.com/event-storming/products,master,d1a15772b9b1138c914b61fb95f2d78d62e4c051,1,234,13/12/2022 17:44:37
code-not-found/jsf-primefaces,https://github.com/code-not-found/jsf-primefaces,master,c2c1e9dec26b3fe0e6fbbd55f9b828b7e0b7755e,96,235,13/12/2022 17:44:37
vmware-tanzu-learning/apps-movie-fun-modernization-code,https://github.com/vmware-tanzu-learning/apps-movie-fun-modernization-code,master,6a64e2d2338ecf9410f3de416194a801d769122b,2,235,13/12/2022 17:44:37
cs125-illinois/Spring-2018-Lab7,https://github.com/cs125-illinois/Spring-2018-Lab7,master,cf67deff32d0db54015be1bee93544c711b54414,0,236,13/12/2022 17:44:37
bitrich-info/xchange-stream,https://github.com/bitrich-info/xchange-stream,develop,0ef9518628d789657104e20dd141334cb0f628d1,414,236,13/12/2022 17:44:37
miteshpithadiya/SearchableSpinner,https://github.com/miteshpithadiya/SearchableSpinner,master,1e4a615cdf4de36f7086d06e614ea2cb04ec90e8,644,236,13/12/2022 17:44:37
ushelp/EasyOCR,https://github.com/ushelp/EasyOCR,master,439a46f01027c8ad37d1e2be117a2fdfb2f5e641,560,237,13/12/2022 17:44:37
scmgalaxy/java-sonar-runner-simple,https://github.com/scmgalaxy/java-sonar-runner-simple,master,6a87cab00f68b6f931cb76dfdfaceaac0302737c,3,246,13/12/2022 17:44:37
super30admin/Competitive-Coding-9,https://github.com/super30admin/Competitive-Coding-9,master,266d9a44f746e9ef2497525865dd008a0933c7c3,1,297,13/12/2022 17:44:37
haikuowuya/SpringIndicator,https://github.com/haikuowuya/SpringIndicator,master,47246310dcb9b8278985a209c5f63e1da8fad0ef,2,547,13/12/2022 17:44:43
jgilfelt/android-sqlite-asset-helper,https://github.com/jgilfelt/android-sqlite-asset-helper,master,74a9b0d68aeb1bb0b9778c5598e37da573919ce1,2157,550,13/12/2022 17:44:43
ChadCSong/ShineButton,https://github.com/ChadCSong/ShineButton,master,b8834976e918d61fa942c45b53043cb3c397ad93,4177,551,13/12/2022 17:44:43
wosyingjun/beauty_ssm_dubbo,https://github.com/wosyingjun/beauty_ssm_dubbo,master,d2717650c0441b17ed0e0017bcd752f0c134b801,831,553,13/12/2022 17:44:43
ddd-by-examples/library,https://github.com/ddd-by-examples/library,master,98d7004b5aef366ba5d661ae0cb544af1cfd33f1,3425,555,13/12/2022 17:44:43
sannies/mp4parser,https://github.com/sannies/mp4parser,master,ff137905f8f7334c3013fa5fa461a438de49c7e1,2609,555,13/12/2022 17:44:43
nus-cs2103-AY2122S1/tp,https://github.com/nus-cs2103-AY2122S1/tp,master,ba53b8cea3aa025d17094dbd6c541b046a5f5d7a,0,556,13/12/2022 17:44:43
